Frogspawn sample id,Temperature13,Temperature18,Temperature25
1,24,,
2,,21,
3,,,18
4,26,,
5,,22,
6,,,14
7,27,,
8,,22,
9,,,15
10,27,,
11,,21,
12,,,15
13,26,,
14,,20,
15,,,16
16,27,,
17,,20,
18,,,16
19,27,,
20,,19,
21,,,17
22,25,,
23,,21,
24,,,17
25,26,,
26,,23,
27,,,17
28,28,,
29,,21,
30,,,17
31,24,,
32,,21,
33,,,18
34,26,,
35,,22,
36,,,14
37,27,,
38,,22,
39,,,15
40,27,,
41,,21,
42,,,15
43,26,,
44,,20,
45,,,16
46,27,,
47,,20,
48,,,16
49,27,,
50,,19,
51,,,17
52,25,,
53,,21,
54,,,17
55,26,,
56,,23,
57,,,17
58,28,,
59,,21,
60,,,17